user,title,price,bed,bedroom,bathroom,guest_adult,guest_kid,guest_pet,stay_type,description,latitude,longitude
42,ㅁㅁ집,113439,8,5,4,1,3,3,2,제주도ㅁㅁ집,11.497758,112.615836
43,멋진집,84082,6,4,2,4,2,3,3,제주도멋진집,44.223002,143.773289
44,쿨한집,81315,3,2,3,1,5,5,3,제주도쿨한집,-15.730517,-70.390633
45,힙한집,57703,9,4,4,4,4,6,1,제주도힙한집,19.031282,-76.40761
46,ㅋㅋ집,113955,5,2,3,3,3,6,3,제주도ㅋㅋ집,-5.415748,-144.543709
47,ㅎㅎ집,72397,5,5,4,1,3,7,2,제주도ㅎㅎ집,12.579726,43.288706
48,ㅁㅁ집,60468,4,4,2,2,5,3,4,제주도ㅁㅁ집,89.367829,-60.609467
49,멋진집,127233,3,2,3,6,2,6,3,제주도멋진집,66.605008,-157.911932
50,쿨한집,51090,7,4,2,6,5,7,3,제주도쿨한집,70.321014,-119.412901
51,힙한집,32710,7,5,4,1,5,6,3,제주도힙한집,20.056474,-10.957895
52,ㅋㅋ집,101996,7,2,3,2,5,7,2,제주도ㅋㅋ집,-51.039037,-137.205642
53,ㅎㅎ집,105370,8,4,2,3,4,3,2,제주도ㅎㅎ집,-47.085928,-30.687765
54,ㅁㅁ집,94908,8,3,2,4,3,6,1,제주도ㅁㅁ집,-13.932215,54.266815
55,멋진집,45922,4,3,2,5,3,4,2,제주도멋진집,19.530456,154.822778
56,쿨한집,111803,3,2,3,6,2,5,4,제주도쿨한집,17.439537,120.111311
57,힙한집,78061,6,5,3,1,3,5,3,제주도힙한집,33.055502,135.654161
58,ㅋㅋ집,31897,3,2,2,5,4,5,3,제주도ㅋㅋ집,-31.406247,15.691407
59,ㅎㅎ집,56883,6,5,2,3,2,2,2,제주도ㅎㅎ집,81.928677,150.06036
60,ㅁㅁ집,45982,6,4,4,5,2,3,1,제주도ㅁㅁ집,-25.294597,-157.549958
61,멋진집,93566,4,4,2,4,4,4,1,제주도멋진집,-19.315727,-1.913352
62,쿨한집,127287,8,4,2,6,4,2,1,제주도쿨한집,18.73637,107.230767
63,힙한집,46142,8,2,3,4,3,5,2,제주도힙한집,30.660282,-162.433105
64,ㅋㅋ집,54236,4,3,2,2,3,5,1,제주도ㅋㅋ집,-12.948772,111.847445
65,ㅎㅎ집,87909,3,5,2,6,5,6,3,제주도ㅎㅎ집,40.949854,31.052133
66,ㅁㅁ집,89439,3,5,4,5,4,4,2,제주도ㅁㅁ집,66.050152,-156.657903
67,멋진집,35390,5,3,3,2,3,3,2,제주도멋진집,89.464322,-74.653203
68,쿨한집,32505,4,2,4,4,4,5,3,제주도쿨한집,20.268005,172.275552
69,힙한집,30359,5,5,3,1,4,7,1,제주도힙한집,-29.270859,37.313229
70,ㅋㅋ집,128234,6,4,3,6,2,5,4,제주도ㅋㅋ집,-31.663719,-75.163617
71,ㅎㅎ집,66195,9,2,4,4,3,5,2,제주도ㅎㅎ집,-22.486031,-155.91767
72,ㅁㅁ집,93359,7,4,3,4,4,5,3,제주도ㅁㅁ집,11.091861,-74.024837
73,멋진집,101832,4,5,3,3,3,3,4,제주도멋진집,-6.829453,134.535623
74,쿨한집,36550,4,2,4,6,5,2,3,제주도쿨한집,50.416352,39.744079
75,힙한집,48353,9,5,2,3,3,2,3,제주도힙한집,-49.75302,-8.214903
76,ㅋㅋ집,70220,8,5,2,3,3,7,4,제주도ㅋㅋ집,-40.863164,-32.75859
77,ㅎㅎ집,58641,9,3,2,4,2,4,2,제주도ㅎㅎ집,87.255467,51.378879
78,ㅁㅁ집,126806,6,2,2,4,4,5,4,제주도ㅁㅁ집,24.111397,142.846806
79,멋진집,121553,3,2,3,3,2,2,4,제주도멋진집,12.146159,-56.763061
80,쿨한집,94661,8,2,3,6,5,5,4,제주도쿨한집,-34.37966,-100.268109
81,힙한집,114203,9,2,4,6,4,7,1,제주도힙한집,39.899608,-28.871337
82,ㅋㅋ집,122943,9,5,2,1,5,3,4,제주도ㅋㅋ집,37.109806,-26.988065
83,ㅎㅎ집,112030,4,4,4,2,2,2,3,제주도ㅎㅎ집,-81.42747,-155.773898
84,ㅁㅁ집,124758,4,3,2,2,5,5,1,제주도ㅁㅁ집,-22.526782,13.563166
85,멋진집,92110,7,5,4,1,4,4,4,제주도멋진집,48.058266,-148.588413
86,쿨한집,42375,6,5,3,4,2,6,2,제주도쿨한집,-57.74438,-69.212542
87,힙한집,94507,8,4,3,4,3,7,3,제주도힙한집,-42.242266,-100.78214
88,ㅋㅋ집,56886,8,5,2,6,4,2,2,제주도ㅋㅋ집,15.836537,124.906884
89,ㅎㅎ집,65403,4,4,2,2,3,2,4,제주도ㅎㅎ집,-8.634091,45.291794
90,ㅁㅁ집,102067,7,3,2,5,4,3,2,제주도ㅁㅁ집,-79.23887,98.284524
91,멋진집,88950,4,2,4,1,3,5,4,제주도멋진집,41.191135,135.981161
92,쿨한집,123378,4,3,4,3,3,7,4,제주도쿨한집,16.482267,-56.508081
93,힙한집,98931,9,2,3,6,3,7,2,제주도힙한집,22.031842,32.056145
94,ㅋㅋ집,48274,7,5,4,5,4,6,3,제주도ㅋㅋ집,-27.054435,139.195757
95,ㅎㅎ집,31533,4,5,4,1,4,6,1,제주도ㅎㅎ집,70.891061,-28.174159
96,ㅁㅁ집,64082,5,5,2,5,5,3,3,제주도ㅁㅁ집,26.355283,-67.635544
97,멋진집,54355,3,2,2,5,5,3,1,제주도멋진집,-1.969794,55.252702
98,쿨한집,40451,8,3,3,1,5,3,2,제주도쿨한집,8.32409,-171.132563
99,힙한집,59703,4,3,4,1,5,2,4,제주도힙한집,75.428374,-6.512127
100,ㅋㅋ집,61155,6,3,2,6,5,3,3,제주도ㅋㅋ집,85.219237,59.453016
101,ㅎㅎ집,100665,3,5,2,3,2,4,2,제주도ㅎㅎ집,-41.936081,61.055027
102,ㅁㅁ집,116364,5,3,2,3,5,6,3,제주도ㅁㅁ집,-56.780756,-87.335862
103,멋진집,42331,3,3,4,1,5,6,4,제주도멋진집,53.074674,-123.667357
104,쿨한집,43297,5,3,3,2,5,6,3,제주도쿨한집,74.298953,71.930951
105,힙한집,96990,6,5,3,5,2,2,2,제주도힙한집,-57.651474,51.782635
106,ㅋㅋ집,127697,4,4,4,4,2,5,2,제주도ㅋㅋ집,68.539355,115.434576
107,ㅎㅎ집,67697,9,3,3,4,3,3,3,제주도ㅎㅎ집,-9.92387,-11.570594
108,ㅁㅁ집,98170,3,4,3,6,2,4,1,제주도ㅁㅁ집,74.847279,-127.935884
109,멋진집,79043,6,5,3,5,2,4,3,제주도멋진집,-58.046524,177.415673
110,쿨한집,63259,4,4,3,1,5,4,1,제주도쿨한집,42.966305,-174.292073
111,힙한집,74392,7,3,2,2,5,3,2,제주도힙한집,-45.191958,-88.81739
112,ㅋㅋ집,79875,6,4,4,1,2,4,2,제주도ㅋㅋ집,88.724302,-122.823272
113,ㅎㅎ집,85720,3,4,2,3,3,7,2,제주도ㅎㅎ집,71.254568,-97.800108
114,ㅁㅁ집,70344,8,5,2,3,4,7,3,제주도ㅁㅁ집,-82.482376,-104.680009
115,멋진집,73235,4,2,3,2,5,2,1,제주도멋진집,-55.556073,-59.41131
116,쿨한집,62147,9,5,3,4,3,5,1,제주도쿨한집,-89.63777,-93.436095
117,힙한집,108155,3,4,4,1,3,4,2,제주도힙한집,82.992867,163.945499
118,ㅋㅋ집,43893,7,2,4,3,5,3,4,제주도ㅋㅋ집,66.295456,-151.510954
119,ㅎㅎ집,61905,6,2,2,6,2,6,1,제주도ㅎㅎ집,-0.222926,131.81981
120,ㅁㅁ집,67299,3,3,3,5,4,2,1,제주도ㅁㅁ집,-75.100874,154.624407
121,멋진집,129993,3,2,4,1,3,6,3,제주도멋진집,43.501714,70.38164
122,쿨한집,77813,6,5,4,6,3,6,3,제주도쿨한집,25.207781,143.931384
123,힙한집,78218,7,5,2,1,2,2,2,제주도힙한집,-54.038787,-105.281278
124,ㅋㅋ집,95995,3,5,3,6,5,7,3,제주도ㅋㅋ집,20.800085,102.182721
125,ㅎㅎ집,54644,9,4,3,4,5,3,2,제주도ㅎㅎ집,-83.145125,29.935775
126,ㅁㅁ집,63128,7,2,2,5,5,4,1,제주도ㅁㅁ집,25.544731,-20.572971
127,멋진집,72853,7,2,2,6,4,5,1,제주도멋진집,2.190928,18.921834
128,쿨한집,93544,8,2,3,6,5,5,4,제주도쿨한집,-33.055573,-53.085322
129,힙한집,83018,3,2,2,6,3,5,1,제주도힙한집,-88.994706,-26.434797
130,ㅋㅋ집,73613,6,5,3,4,2,4,2,제주도ㅋㅋ집,-47.484339,-169.683655
131,ㅎㅎ집,107826,4,2,3,3,5,5,3,제주도ㅎㅎ집,-28.278612,104.710256
132,ㅁㅁ집,114709,6,3,3,3,2,5,3,제주도ㅁㅁ집,-6.057262,98.9863
133,멋진집,113478,5,5,2,3,5,5,4,제주도멋진집,56.425335,169.775728
134,쿨한집,101120,3,4,3,6,4,2,3,제주도쿨한집,60.200186,-48.271573
135,힙한집,103097,4,5,3,1,3,7,4,제주도힙한집,-4.869187,99.321629
136,ㅋㅋ집,90889,5,4,2,6,5,2,3,제주도ㅋㅋ집,57.35767,-110.539194
137,ㅎㅎ집,84725,3,3,4,4,3,3,1,제주도ㅎㅎ집,-61.674285,-13.27975
138,ㅁㅁ집,90035,8,2,2,3,3,5,4,제주도ㅁㅁ집,33.839097,-151.087203
139,멋진집,60473,7,5,3,3,4,2,1,제주도멋진집,-55.641976,-91.661941
140,쿨한집,61078,5,3,4,5,3,3,4,제주도쿨한집,-13.462338,-43.276064
141,힙한집,71865,8,2,4,6,4,4,1,제주도힙한집,47.221921,93.278043
142,ㅋㅋ집,73132,8,3,3,3,4,7,1,제주도ㅋㅋ집,-52.011301,-89.134068
143,ㅎㅎ집,91295,7,5,2,6,5,5,3,제주도ㅎㅎ집,-47.198648,-132.101436
144,ㅁㅁ집,101134,4,5,3,3,5,5,4,제주도ㅁㅁ집,-3.067231,130.123259
145,멋진집,76046,3,3,4,2,3,4,2,제주도멋진집,-10.566931,-64.72704
146,쿨한집,129523,8,5,4,1,3,5,2,제주도쿨한집,64.784839,129.514631
147,힙한집,62401,5,3,3,5,2,6,3,제주도힙한집,77.644034,145.867078
148,ㅋㅋ집,74657,4,2,2,4,5,4,4,제주도ㅋㅋ집,-33.952886,-59.787727
149,ㅎㅎ집,118927,8,4,4,2,3,5,1,제주도ㅎㅎ집,-70.960235,-46.502952
150,ㅁㅁ집,69520,3,4,3,4,2,4,4,제주도ㅁㅁ집,10.410415,90.03849
151,멋진집,53490,9,5,3,3,4,3,3,제주도멋진집,-45.42481,128.719963
152,쿨한집,33189,7,3,3,5,2,5,2,제주도쿨한집,43.592423,-48.564513
153,힙한집,64596,3,4,4,1,4,6,2,제주도힙한집,-24.106119,-33.036501
154,ㅋㅋ집,100925,8,4,4,5,2,3,1,제주도ㅋㅋ집,-40.167018,57.484049
155,ㅎㅎ집,88207,8,5,2,2,2,5,3,제주도ㅎㅎ집,-7.795648,-174.200298
156,ㅁㅁ집,113452,7,4,3,5,5,4,2,제주도ㅁㅁ집,4.942507,-104.214008
157,멋진집,43654,8,3,3,5,2,4,1,제주도멋진집,-89.53553,-172.179177
158,쿨한집,46556,3,3,2,5,5,5,2,제주도쿨한집,29.976562,120.643579
159,힙한집,61172,4,3,4,4,3,2,4,제주도힙한집,23.721408,-36.285598
160,ㅋㅋ집,114977,8,5,3,2,5,2,1,제주도ㅋㅋ집,63.648445,-155.087688
161,ㅎㅎ집,46827,6,3,2,4,2,3,3,제주도ㅎㅎ집,25.62061,63.618085
162,ㅁㅁ집,63844,4,2,3,5,5,5,2,제주도ㅁㅁ집,9.714549,-173.758357
163,멋진집,33652,3,5,4,2,2,2,4,제주도멋진집,86.732764,151.04537
164,쿨한집,92781,4,2,3,6,2,6,2,제주도쿨한집,33.5596,-86.653343
165,힙한집,88780,9,4,3,6,4,2,1,제주도힙한집,-12.106777,78.118489
166,ㅋㅋ집,63840,5,4,3,6,4,3,3,제주도ㅋㅋ집,41.418187,144.792982
167,ㅎㅎ집,111665,3,5,2,6,3,5,1,제주도ㅎㅎ집,-1.291585,-132.842017
168,ㅁㅁ집,66604,7,5,3,6,3,3,3,제주도ㅁㅁ집,-5.994336,36.972052
169,멋진집,116744,8,2,2,1,2,2,4,제주도멋진집,-23.67553,-56.383166
170,쿨한집,39263,6,5,2,4,2,3,4,제주도쿨한집,33.26779,74.065619
171,힙한집,52085,6,3,4,1,3,4,3,제주도힙한집,55.103516,-51.206174
172,ㅋㅋ집,30752,3,3,3,2,4,4,4,제주도ㅋㅋ집,22.53004,98.540955
173,ㅎㅎ집,53096,5,3,3,4,5,7,3,제주도ㅎㅎ집,-54.295451,85.723895
174,ㅁㅁ집,88958,7,4,2,4,3,7,4,제주도ㅁㅁ집,64.131478,-133.096768
175,멋진집,64652,9,2,4,5,2,6,3,제주도멋진집,19.971943,-5.745143
176,쿨한집,46761,7,3,2,3,4,3,4,제주도쿨한집,-1.174895,-3.996349
177,힙한집,116233,8,4,3,5,3,3,3,제주도힙한집,2.812312,115.838628
178,ㅋㅋ집,69676,5,5,4,1,4,5,4,제주도ㅋㅋ집,3.538929,127.231337
179,ㅎㅎ집,90780,9,3,3,1,3,6,4,제주도ㅎㅎ집,-75.231688,117.373225
180,ㅁㅁ집,114817,5,4,4,2,4,6,3,제주도ㅁㅁ집,-9.194969,-110.400473
181,멋진집,59836,6,2,2,4,5,3,3,제주도멋진집,39.217406,-52.962943
182,쿨한집,115120,9,4,4,2,2,6,1,제주도쿨한집,28.125271,51.392046
183,힙한집,43679,7,3,4,5,2,5,1,제주도힙한집,-79.961289,-157.906814
184,ㅋㅋ집,49301,7,4,3,4,5,7,1,제주도ㅋㅋ집,9.161968,-59.889879
185,ㅎㅎ집,107127,3,4,4,3,5,3,1,제주도ㅎㅎ집,-87.731929,-104.135668
186,ㅁㅁ집,36907,9,2,2,6,5,7,2,제주도ㅁㅁ집,-87.107145,-58.47759
187,멋진집,88552,4,4,3,3,2,6,3,제주도멋진집,36.829368,-126.6257
188,쿨한집,128854,6,3,2,1,3,3,3,제주도쿨한집,0.286594,-36.632203
189,힙한집,33668,8,3,3,4,5,7,4,제주도힙한집,7.080189,85.524409
190,ㅋㅋ집,62474,4,2,2,1,2,6,1,제주도ㅋㅋ집,-69.26361,-96.488074
191,ㅎㅎ집,126453,7,2,3,3,2,5,2,제주도ㅎㅎ집,-10.103528,11.257944
192,ㅁㅁ집,51936,9,2,4,5,2,4,4,제주도ㅁㅁ집,-0.905871,55.059453
193,멋진집,70037,7,3,3,3,2,7,3,제주도멋진집,86.659484,165.219514
194,쿨한집,70837,7,4,3,6,5,7,4,제주도쿨한집,-73.100507,124.144665
195,힙한집,120950,7,3,3,1,3,2,1,제주도힙한집,33.179061,72.322018
196,ㅋㅋ집,105234,3,4,3,4,3,2,4,제주도ㅋㅋ집,-16.91784,145.059828
197,ㅎㅎ집,53903,3,5,3,2,3,4,1,제주도ㅎㅎ집,44.730297,-54.100653
198,ㅁㅁ집,58788,9,5,4,3,3,7,2,제주도ㅁㅁ집,-53.621567,60.352282
199,멋진집,72764,6,4,4,4,5,5,1,제주도멋진집,59.501012,-53.618424
200,쿨한집,44033,7,5,4,2,4,4,1,제주도쿨한집,56.856702,61.974328
201,힙한집,60064,7,3,2,1,5,6,1,제주도힙한집,76.410669,24.438015
202,ㅋㅋ집,107224,9,4,3,3,2,5,1,제주도ㅋㅋ집,-58.238575,-91.925854
203,ㅎㅎ집,104375,8,2,4,2,4,7,1,제주도ㅎㅎ집,21.096923,166.175701
204,ㅁㅁ집,91323,3,5,3,2,2,3,2,제주도ㅁㅁ집,12.398069,146.266676
205,멋진집,76466,8,2,3,6,5,2,3,제주도멋진집,35.564891,-93.735895
206,쿨한집,120218,6,2,2,1,2,7,2,제주도쿨한집,76.589616,129.041179
207,힙한집,63879,6,3,4,6,5,5,2,제주도힙한집,-4.689295,43.91404
208,ㅋㅋ집,85435,4,5,2,1,3,2,2,제주도ㅋㅋ집,74.498386,64.291862
209,ㅎㅎ집,74446,3,5,2,1,4,2,2,제주도ㅎㅎ집,74.481193,-19.27246
210,ㅁㅁ집,77838,3,4,4,1,3,6,1,제주도ㅁㅁ집,45.048376,-119.129477
211,멋진집,95439,5,4,3,2,2,3,1,제주도멋진집,-69.305528,-69.060893
212,쿨한집,44864,6,3,3,4,4,6,1,제주도쿨한집,53.087605,-34.24967
213,힙한집,42244,8,2,3,1,5,6,3,제주도힙한집,41.463437,-166.005642
214,ㅋㅋ집,77849,3,5,2,5,5,5,4,제주도ㅋㅋ집,52.645343,-40.821883
215,ㅎㅎ집,52205,7,2,4,2,4,2,1,제주도ㅎㅎ집,82.739339,45.39319
216,ㅁㅁ집,73273,8,3,4,3,5,4,3,제주도ㅁㅁ집,4.575113,93.524562
217,멋진집,112232,9,4,3,3,3,3,1,제주도멋진집,-75.007705,-78.98146
218,쿨한집,41098,3,2,3,4,5,4,3,제주도쿨한집,4.504233,159.986993
219,힙한집,46902,9,4,2,1,3,5,3,제주도힙한집,-34.401386,-92.338385
220,ㅋㅋ집,97712,6,2,4,1,4,2,2,제주도ㅋㅋ집,72.869196,117.55453
221,ㅎㅎ집,114364,8,3,3,6,5,7,4,제주도ㅎㅎ집,59.302703,41.147746
222,ㅁㅁ집,120741,5,5,4,5,4,2,1,제주도ㅁㅁ집,68.001065,-113.471037
223,멋진집,45071,7,3,2,3,3,4,4,제주도멋진집,-13.582285,124.497006
224,쿨한집,118732,6,2,2,2,4,3,2,제주도쿨한집,57.396692,-176.646133
225,힙한집,31059,8,5,3,1,5,3,2,제주도힙한집,85.540778,11.177675
226,ㅋㅋ집,86429,9,5,2,4,5,2,3,제주도ㅋㅋ집,-85.307803,-83.391912
227,ㅎㅎ집,106501,7,5,4,2,3,3,2,제주도ㅎㅎ집,52.264164,-9.888285
228,ㅁㅁ집,52350,3,2,2,2,4,5,2,제주도ㅁㅁ집,0.230419,140.963814
229,멋진집,111977,9,3,4,3,5,4,3,제주도멋진집,-24.895197,45.177545
230,쿨한집,51136,3,3,4,2,3,5,3,제주도쿨한집,82.831113,-44.985629
231,힙한집,71447,4,2,4,3,5,3,3,제주도힙한집,66.154766,6.158776
232,ㅋㅋ집,60689,8,3,3,3,3,5,1,제주도ㅋㅋ집,77.342072,11.587437
233,ㅎㅎ집,31106,9,3,2,3,3,3,1,제주도ㅎㅎ집,7.341359,152.167045
234,ㅁㅁ집,70524,6,3,4,2,5,3,1,제주도ㅁㅁ집,36.243673,-79.953492
235,멋진집,70020,6,4,4,1,2,5,1,제주도멋진집,18.306168,2.404195
236,쿨한집,100667,9,2,2,6,2,6,1,제주도쿨한집,-39.96659,56.841848
237,힙한집,33149,7,2,4,4,4,5,3,제주도힙한집,-27.541072,-9.267187
238,ㅋㅋ집,72585,5,4,3,4,4,5,1,제주도ㅋㅋ집,-12.070921,14.02289
239,ㅎㅎ집,105443,7,5,3,4,2,3,3,제주도ㅎㅎ집,51.488722,-173.973492
240,ㅁㅁ집,68230,8,2,4,2,2,3,1,제주도ㅁㅁ집,81.758816,119.511428
241,멋진집,121303,3,4,3,6,4,5,2,제주도멋진집,62.337943,-166.069486
242,쿨한집,68735,6,4,3,6,4,2,2,제주도쿨한집,67.476569,144.730318
243,힙한집,124914,4,5,4,5,2,5,1,제주도힙한집,-64.757394,79.862106
244,ㅋㅋ집,79423,9,4,4,2,4,4,2,제주도ㅋㅋ집,2.837308,164.880496
245,ㅎㅎ집,84417,4,2,4,4,3,5,4,제주도ㅎㅎ집,76.857363,-41.673841
246,ㅁㅁ집,56647,9,5,2,1,4,4,2,제주도ㅁㅁ집,80.235429,158.080082
247,멋진집,45384,7,3,4,3,3,4,4,제주도멋진집,22.719011,48.547825
248,쿨한집,108941,3,2,2,1,2,7,4,제주도쿨한집,30.962427,-31.830915
249,힙한집,47872,7,2,3,1,5,3,4,제주도힙한집,51.424559,-42.211702
250,ㅋㅋ집,49775,5,2,4,5,4,7,1,제주도ㅋㅋ집,-66.851395,51.811737
251,ㅎㅎ집,45813,7,4,2,5,2,5,4,제주도ㅎㅎ집,-73.961878,-163.605077
252,ㅁㅁ집,101876,6,4,4,3,3,3,2,제주도ㅁㅁ집,28.953383,66.290742
253,멋진집,59591,4,4,3,6,4,7,1,제주도멋진집,82.586466,35.650474
254,쿨한집,58903,4,4,2,6,4,4,3,제주도쿨한집,87.257892,-14.095269
255,힙한집,72336,9,2,4,1,5,2,4,제주도힙한집,51.309501,11.961634
256,ㅋㅋ집,84973,6,4,4,5,3,2,4,제주도ㅋㅋ집,2.851175,61.096822
257,ㅎㅎ집,90298,5,3,3,1,5,3,3,제주도ㅎㅎ집,-27.083486,8.121104
258,ㅁㅁ집,106957,4,5,4,1,5,3,1,제주도ㅁㅁ집,80.11122,-112.571275
259,멋진집,128252,8,3,3,5,2,4,3,제주도멋진집,42.839428,71.674002
260,쿨한집,30011,9,3,3,6,5,6,4,제주도쿨한집,-66.75156,46.466732
261,힙한집,35390,8,3,3,4,2,6,3,제주도힙한집,73.813181,157.32582
262,ㅋㅋ집,79959,7,3,4,1,5,4,2,제주도ㅋㅋ집,62.650345,-74.116362
263,ㅎㅎ집,36861,4,4,2,6,3,5,1,제주도ㅎㅎ집,-62.446331,158.477752
264,ㅁㅁ집,63806,8,2,4,2,2,7,1,제주도ㅁㅁ집,10.651991,-26.950891
265,멋진집,54768,7,5,3,1,3,4,3,제주도멋진집,-44.587567,-115.874911
266,쿨한집,104146,9,5,2,5,2,4,2,제주도쿨한집,34.629802,-10.349326
267,힙한집,71928,4,5,2,6,4,2,4,제주도힙한집,-34.707058,61.386679
268,ㅋㅋ집,76836,8,2,2,1,3,5,3,제주도ㅋㅋ집,41.712142,122.154258
269,ㅎㅎ집,76476,5,5,4,2,2,7,4,제주도ㅎㅎ집,-3.492251,-111.142247
270,ㅁㅁ집,92163,7,2,4,2,4,4,2,제주도ㅁㅁ집,40.215726,44.996053
271,멋진집,47872,5,4,3,5,5,4,4,제주도멋진집,-11.607581,137.925774
272,쿨한집,55681,9,5,2,4,5,7,3,제주도쿨한집,7.313116,54.243296
273,힙한집,120201,5,2,3,1,5,4,4,제주도힙한집,84.187789,-47.581119
274,ㅋㅋ집,119658,6,2,4,3,4,7,4,제주도ㅋㅋ집,-38.864271,-133.860586
275,ㅎㅎ집,49845,7,5,3,6,3,5,4,제주도ㅎㅎ집,-65.164628,123.850246
276,ㅁㅁ집,53177,8,4,4,6,2,4,4,제주도ㅁㅁ집,-24.196108,67.654887
277,멋진집,67481,7,4,4,4,2,4,3,제주도멋진집,22.843215,-139.411678
278,쿨한집,77720,9,4,3,3,3,5,1,제주도쿨한집,58.598682,128.219077
279,힙한집,62384,4,2,3,6,4,6,3,제주도힙한집,43.275052,-176.84558
280,ㅋㅋ집,114637,4,2,4,4,5,2,4,제주도ㅋㅋ집,-54.940876,-90.344161
281,ㅎㅎ집,116904,9,2,4,2,4,3,2,제주도ㅎㅎ집,-4.739457,171.283855
282,ㅁㅁ집,96277,4,2,2,1,5,6,1,제주도ㅁㅁ집,-72.824006,-25.443148
283,멋진집,124642,9,5,4,3,5,6,2,제주도멋진집,65.347782,166.267013
284,쿨한집,98457,9,2,3,3,2,3,1,제주도쿨한집,65.594846,-135.40307
285,힙한집,114587,6,2,4,4,2,2,4,제주도힙한집,74.712358,167.420989
286,ㅋㅋ집,48928,9,2,3,1,4,6,4,제주도ㅋㅋ집,53.933508,-134.554741
287,ㅎㅎ집,100008,5,2,4,1,5,2,1,제주도ㅎㅎ집,-59.045892,-74.537336
